Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1,Jos‚ÿAbreu,31,CHW,128,553,8,0,-1,-1,-7,-1,0.1,20,19,2,0.499,0.499,2,-0.7,20,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
2,RonaldÿAcu¤aÿJr.,20,ATL,111,487,25,1,0,3,-4,25,2.4,15,40,3.9,0.524,0.516,3.7,-0.2,37,acunaro01,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr.,RonaldÿAcunaÿJr,ronaldacunajr
3,JasonÿAdam,26,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamja01,JasonÿAdam,JasonÿAdam,JasonÿAdam,jasonadam
4,WillyÿAdames,22,TBR,85,323,2,0,0,-8,4,-2,0,12,10,1.1,0.498,0.499,1.8,-0.3,18,adamewi01,WillyÿAdames,WillyÿAdames,WillyÿAdames,willyadames
5,AustinÿAdams,27,WSN,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamsau02,AustinÿAdams,AustinÿAdams,AustinÿAdams,austinadams
6,ChanceÿAdams,23,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adamsch01,ChanceÿAdams,ChanceÿAdams,ChanceÿAdams,chanceadams
7,LaneÿAdams,28,ATL,26,29,2,1,0,0,0,2,0.2,1,3,0.3,0.508,0.501,0.3,0,3,adamsla01,LaneÿAdams,LaneÿAdams,LaneÿAdams,laneadams
8,MattÿAdams*,29,2TM,121,337,2,0,0,3,-4,1,-0.1,11,11,1,0.5,0.502,0.8,-0.2,8,adamsma01,MattÿAdams*,MattÿAdams,MattÿAdams,mattadams
9,JimÿAdduci*,33,DET,59,185,-6,1,2,-3,-3,-10,-1,7,-4,-0.3,0.482,0.494,-0.1,-0.6,0,adducji02,JimÿAdduci*,JimÿAdduci,JimÿAdduci,jimadduci
10,EhireÿAdrianza#,28,MIN,114,366,-9,0,-1,-7,3,-14,-1.2,13,-1,0,0.488,0.491,0.6,-0.2,7,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
