Rk	Name	Age	Tm	G	PA	Rbat	Rbaser	Rdp	Rfield	Rpos	RAA	WAA	Rrep	RAR	WAR	waaWL%	162WL%	oWAR	dWAR	oRAR	Name-additional	no_accent_names	clean_end	no_period	clean_name
28	TimÿAnderson	30	CHW	123	524	-28	2	-1	-16	7	-37	-3.7	18	-19	-2	0.47	0.477	-0.4	-0.9	-3	anderti01	TimÿAnderson	TimÿAnderson	TimÿAnderson	timanderson
29	ElvisÿAndrus	34	CHW	112	406	-10	0	0	-3	5	-8	-0.8	14	6	0.6	0.493	0.495	0.9	0.2	9	andruel01	ElvisÿAndrus	ElvisÿAndrus	ElvisÿAndrus	elvisandrus
30	MiguelÿAndujar	28	PIT	30	90	1	0	1	-3	-1	-3	-0.3	3	1	0	0.492	0.498	0.3	-0.4	4	andujmi01	MiguelÿAndujar	MiguelÿAndujar	MiguelÿAndujar	miguelandujar
31	JonathanÿAranda*	25	TBR	34	103	-1	-1	0	1	-1	-1	-0.1	4	2	0.2	0.497	0.499	0.1	0	1	arandjo01	JonathanÿAranda*	JonathanÿAranda	JonathanÿAranda	jonathanaranda
32	JonathanÿAra£z#	24	NYM	27	66	-6	0	0	0	1	-5	-0.5	2	-3	-0.3	0.481	0.497	-0.3	0.1	-3	arauzjo01	JonathanÿArauz#	JonathanÿArauz	JonathanÿArauz	jonathanarauz
33	OrlandoÿArcia	28	ATL	139	533	-2	1	-1	-6	8	-1	-0.1	18	17	1.6	0.499	0.499	2.2	0.2	23	arciaor01	OrlandoÿArcia	OrlandoÿArcia	OrlandoÿArcia	orlandoarcia
34	NolanÿArenado	32	STL	144	612	7	-3	-2	1	2	4	0.4	21	25	2.4	0.503	0.503	2.3	0.3	24	arenano01	NolanÿArenado	NolanÿArenado	NolanÿArenado	nolanarenado
35	GabrielÿArias	23	CLE	122	345	-11	-1	0	0	1	-12	-1.2	12	0	-0.1	0.49	0.492	-0.1	0.1	0	ariasga01	GabrielÿArias	GabrielÿArias	GabrielÿArias	gabrielarias
36	RandyÿArozarena	28	TBR	151	654	19	-3	-1	4	-5	13	1.4	22	35	3.5	0.509	0.508	3.1	-0.1	31	arozara01	RandyÿArozarena	RandyÿArozarena	RandyÿArozarena	randyarozarena
37	LuisÿArr ez*	26	MIA	147	617	25	-1	-1	2	4	29	2.9	21	50	4.9	0.52	0.518	4.7	0.6	48	arraelu01	LuisÿArraez*	LuisÿArraez	LuisÿArraez	luisarraez
