Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
393,NolanÿFontana*,26,LAA,12,23,-3,0,0,1,0,-2,-0.2,1,-1,-0.2,0.481,0.499,-0.3,0.1,-2,fontano01,NolanÿFontana*,NolanÿFontana,NolanÿFontana,nolanfontana
394,LoganÿForsythe,30,LAD,119,439,-5,0,-1,9,3,6,0.5,14,20,1.9,0.505,0.504,1,1.2,11,forsylo01,LoganÿForsythe,LoganÿForsythe,LoganÿForsythe,loganforsythe
395,DexterÿFowler#,31,STL,118,491,16,1,-1,-16,3,3,0.2,16,19,1.8,0.503,0.502,3.4,-1.4,35,fowlede01,DexterÿFowler#,DexterÿFowler,DexterÿFowler,dexterfowler
396,DustinÿFowler*,22,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,fowledu01,DustinÿFowler*,DustinÿFowler,DustinÿFowler,dustinfowler
397,MaikelÿFranco,24,PHI,154,623,-19,0,-1,0,3,-18,-1.9,20,3,0,0.488,0.489,0.1,0.2,3,francma02,MaikelÿFranco,MaikelÿFranco,MaikelÿFranco,maikelfranco
398,NickÿFranklin#,26,2TM,66,119,-7,0,0,3,0,-4,-0.4,4,0,-0.1,0.494,0.498,-0.3,0.3,-3,frankni01,NickÿFranklin#,NickÿFranklin,NickÿFranklin,nickfranklin
399,SethÿFrankoff,28,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,frankse01,SethÿFrankoff,SethÿFrankoff,SethÿFrankoff,sethfrankoff
400,AdamÿFrazier*,25,PIT,121,454,1,1,-1,-2,-1,-3,-0.3,15,12,1.1,0.498,0.498,1.3,-0.4,14,fraziad01,AdamÿFrazier*,AdamÿFrazier,AdamÿFrazier,adamfrazier
401,ClintÿFrazier,22,NYY,39,142,-4,0,0,-2,-2,-7,-0.6,5,-2,-0.2,0.483,0.496,0.1,-0.4,0,frazicl01,ClintÿFrazier,ClintÿFrazier,ClintÿFrazier,clintfrazier
402,ToddÿFrazier,31,2TM,147,576,5,-1,0,3,1,8,0.9,21,29,2.9,0.506,0.503,2.6,0.5,26,frazito01,ToddÿFrazier,ToddÿFrazier,ToddÿFrazier,toddfrazier
403,KyleÿFreeland*,24,COL,33,56,-8,0,1,0,8,1,0.1,0,1,0.1,0.502,0.5,0.1,0,1,freelky01,KyleÿFreeland*,KyleÿFreeland,KyleÿFreeland,kylefreeland
404,FreddieÿFreeman*,27,ATL,117,514,35,0,0,4,-6,32,3.1,16,48,4.7,0.528,0.52,4.3,-0.2,44,freemfr01,FreddieÿFreeman*,FreddieÿFreeman,FreddieÿFreeman,freddiefreeman
