Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
816,JustinÿMorneau*,35,CHW,58,218,-1,0,0,0,-5,-6,-0.5,8,2,0.2,0.49,0.496,0.2,-0.5,2,morneju01,JustinÿMorneau*,JustinÿMorneau,JustinÿMorneau,justinmorneau
818,A.J.ÿMorris,29,CIN,7,1,0,0,0,0,0,0,0,0,0,0,0.498,0.5,0,0,0,morriaj01,A.J.ÿMorris,A.J.ÿMorris,AJÿMorris,ajmorris
819,BryanÿMorris*,29,MIA,24,1,0,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,morribr01,BryanÿMorris*,BryanÿMorris,BryanÿMorris,bryanmorris
820,LoganÿMorrison*,28,TBR,107,398,0,-1,2,-5,-6,-11,-1,14,4,0.4,0.49,0.493,0.9,-1.1,9,morrilo01,LoganÿMorrison*,LoganÿMorrison,LoganÿMorrison,loganmorrison
821,BrandonÿMorrow,31,SDP,17,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,morrobr01,BrandonÿMorrow,BrandonÿMorrow,BrandonÿMorrow,brandonmorrow
822,MikeÿMorse,34,PIT,6,8,-2,0,0,0,0,-2,-0.3,0,-2,-0.2,0.458,0.498,-0.2,0,-2,morsemi01,MikeÿMorse,MikeÿMorse,MikeÿMorse,mikemorse
823,CharlieÿMorton,32,PHI,4,7,-1,0,0,0,1,0,0,0,0,0,0.491,0.5,0,0,0,mortoch02,CharlieÿMorton,CharlieÿMorton,CharlieÿMorton,charliemorton
824,JonÿMoscot,24,CIN,5,7,-1,0,0,0,1,0,0,0,0,0,0.498,0.5,0,0,0,moscojo01,JonÿMoscot,JonÿMoscot,JonÿMoscot,jonmoscot
825,BrandonÿMoss*,32,STL,128,464,2,1,0,-4,-7,-8,-1,15,7,0.5,0.493,0.495,0.9,-1.2,11,mossbr01,BrandonÿMoss*,BrandonÿMoss,BrandonÿMoss,brandonmoss
826,JasonÿMotte,34,COL,26,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,motteja01,JasonÿMotte,JasonÿMotte,JasonÿMotte,jasonmotte
827,TaylorÿMotter,26,TBR,33,93,-4,0,0,3,0,-2,-0.2,3,2,0.2,0.495,0.499,-0.2,0.3,-1,motteta01,TaylorÿMotter,TaylorÿMotter,TaylorÿMotter,taylormotter
828,MikeÿMoustakas*,27,KCR,27,113,3,0,-1,1,1,3,0.4,4,7,0.8,0.513,0.502,0.7,0.2,6,moustmi01,MikeÿMoustakas*,MikeÿMoustakas,MikeÿMoustakas,mikemoustakas
829,StevenÿMoya*,24,DET,31,100,0,-1,0,-6,-1,-8,-0.8,4,-5,-0.5,0.473,0.495,0.2,-0.7,2,moyast01,StevenÿMoya*,StevenÿMoya,StevenÿMoya,stevenmoya
830,PeterÿMoylan,37,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,moylape01,PeterÿMoylan,PeterÿMoylan,PeterÿMoylan,petermoylan
831,ConorÿMullee,28,NYY,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,mulleco01,ConorÿMullee,ConorÿMullee,ConorÿMullee,conormullee
832,MaxÿMuncy*,25,OAK,51,133,-6,1,0,0,-1,-6,-0.6,5,-1,-0.2,0.487,0.496,-0.2,0,-1,muncyma01,MaxÿMuncy*,MaxÿMuncy,MaxÿMuncy,maxmuncy
833,DanielÿMurphy*,31,WSN,142,582,36,-1,2,-11,2,28,2.7,19,47,4.5,0.52,0.517,5.7,-1,58,murphda08,DanielÿMurphy*,DanielÿMurphy,DanielÿMurphy,danielmurphy
834,JohnÿRyanÿMurphy,25,MIN,26,90,-9,0,-1,0,2,-8,-0.9,3,-5,-0.5,0.467,0.495,-0.5,0.2,-5,murphjr01,JohnÿRyanÿMurphy,JohnÿRyanÿMurphy,JohnÿRyanÿMurphy,johnryanmurphy
835,TomÿMurphy,25,COL,21,49,3,0,0,1,1,4,0.4,2,6,0.6,0.52,0.503,0.5,0.2,5,murphto04,TomÿMurphy,TomÿMurphy,TomÿMurphy,tommurphy
836,ColtonÿMurray,26,PHI,22,1,0,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,murraco02,ColtonÿMurray,ColtonÿMurray,ColtonÿMurray,coltonmurray
837,JoeÿMusgrove,23,HOU,1,1,0,0,0,0,0,0,0,0,0,0,0.514,0.5,0,0,0,musgrjo01,JoeÿMusgrove,JoeÿMusgrove,JoeÿMusgrove,joemusgrove
838,WilÿMyers,25,SDP,157,676,15,2,0,7,-9,15,1.4,21,36,3.5,0.51,0.51,2.8,-0.2,29,myerswi01,WilÿMyers,WilÿMyers,WilÿMyers,wilmyers
839,MikeÿNapoli,34,CLE,150,645,5,1,-2,-6,-10,-13,-1.2,23,10,1,0.491,0.492,1.6,-1.6,16,napolmi01,MikeÿNapoli,MikeÿNapoli,MikeÿNapoli,mikenapoli
840,TylerÿNaquin*,25,CLE,116,365,12,0,1,-15,2,-1,0,13,13,1.3,0.5,0.5,2.8,-1.3,27,naquity01,TylerÿNaquin*,TylerÿNaquin,TylerÿNaquin,tylernaquin
841,OmarÿNarv ez*,24,CHW,34,117,-1,-1,0,-2,2,-1,-0.1,4,3,0.3,0.496,0.499,0.5,0,5,narvaom01,OmarÿNarvaez*,OmarÿNarvaez,OmarÿNarvaez,omarnarvaez
842,ChrisÿNarveson*,34,MIA,6,3,-1,0,0,0,0,0,0,0,0,0,0.494,0.5,0,0,0,narvech01,ChrisÿNarveson*,ChrisÿNarveson,ChrisÿNarveson,chrisnarveson
843,JoeÿNathan,41,2TM,9,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,nathajo01,JoeÿNathan,JoeÿNathan,JoeÿNathan,joenathan
844,DanielÿNava#,33,2TM,54,148,-6,0,0,-7,-1,-14,-1.4,5,-9,-0.9,0.473,0.493,-0.2,-0.8,-2,navada01,DanielÿNava#,DanielÿNava,DanielÿNava,danielnava
845,DionerÿNavarro#,32,2TM,101,334,-16,-4,0,-6,5,-21,-2.1,12,-9,-1,0.478,0.49,-0.4,0,-3,navardi01,DionerÿNavarro#,DionerÿNavarro,DionerÿNavarro,dionernavarro
846,ZachÿNeal,27,OAK,3,2,-1,0,0,0,0,0,0,0,0,0,0.491,0.5,0,0,0,nealza01,ZachÿNeal,ZachÿNeal,ZachÿNeal,zachneal
847,JimmyÿNelson,27,MIL,30,59,-11,0,0,0,9,-3,-0.3,0,-3,-0.3,0.49,0.498,-0.3,0,-3,nelsoji02,JimmyÿNelson,JimmyÿNelson,JimmyÿNelson,jimmynelson
848,H‚ctorÿNeris,27,PHI,74,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,nerishe01,HectorÿNeris,HectorÿNeris,HectorÿNeris,hectorneris
849,PatÿNeshek#,35,HOU,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,neshepa01,PatÿNeshek#,PatÿNeshek,PatÿNeshek,patneshek
850,JuanÿNicasio,29,PIT,49,20,-3,0,0,0,3,-1,-0.1,0,-1,-0.1,0.499,0.5,-0.1,0,-1,nicasju01,JuanÿNicasio,JuanÿNicasio,JuanÿNicasio,juannicasio
851,BrettÿNicholas*,27,TEX,15,45,2,-1,0,-2,1,-1,-0.1,2,1,0.1,0.495,0.5,0.3,-0.1,3,nichobr01,BrettÿNicholas*,BrettÿNicholas,BrettÿNicholas,brettnicholas
852,JustinÿNicolino*,24,MIA,17,24,-4,0,0,0,4,-1,-0.1,0,-1,-0.1,0.494,0.499,-0.1,0,-1,nicolju01,JustinÿNicolino*,JustinÿNicolino,JustinÿNicolino,justinnicolino
853,JonÿNiese*,29,2TM,26,34,-5,0,0,0,5,-1,-0.1,0,-1,-0.1,0.498,0.5,-0.1,0,0,niesejo01,JonÿNiese*,JonÿNiese,JonÿNiese,jonniese
854,KirkÿNieuwenhuis*,28,MIL,125,392,-6,-2,1,2,1,-4,-0.5,13,8,0.7,0.496,0.497,0.5,0.2,6,nieuwki01,KirkÿNieuwenhuis*,KirkÿNieuwenhuis,KirkÿNieuwenhuis,kirknieuwenhuis
855,BrandonÿNimmo*,23,NYM,32,80,-2,0,1,2,-1,0,0,3,3,0.2,0.5,0.5,0,0.1,1,nimmobr01,BrandonÿNimmo*,BrandonÿNimmo,BrandonÿNimmo,brandonnimmo
856,AaronÿNola,23,PHI,18,35,-6,0,0,0,5,-2,-0.2,0,-2,-0.2,0.491,0.499,-0.2,0,-2,nolaaa01,AaronÿNola,AaronÿNola,AaronÿNola,aaronnola
857,RickyÿNolasco,33,2TM,2,5,0,0,0,0,1,1,0.1,0,1,0.1,0.524,0.5,0.1,0,1,nolasri01,RickyÿNolasco,RickyÿNolasco,RickyÿNolasco,rickynolasco
858,NickÿNoonan*,27,SDP,7,20,-3,-1,0,-3,0,-6,-0.6,1,-5,-0.6,0.411,0.496,-0.3,-0.3,-2,noonani01,NickÿNoonan*,NickÿNoonan,NickÿNoonan,nicknoonan
859,BudÿNorris,31,2TM,33,38,0,0,0,0,6,5,0.5,0,5,0.5,0.515,0.502,0.5,0,5,norribu01,BudÿNorris,BudÿNorris,BudÿNorris,budnorris
860,DanielÿNorris*,23,DET,1,3,0,0,0,0,0,0,0,0,0,0,0.519,0.5,0,0,0,norrida01,DanielÿNorris*,DanielÿNorris,DanielÿNorris,danielnorris
861,DerekÿNorris,27,SDP,125,458,-25,2,0,6,7,-10,-1.1,15,5,0.3,0.492,0.494,-0.3,1.3,-1,norride01,DerekÿNorris,DerekÿNorris,DerekÿNorris,dereknorris
862,Iv nÿNova,29,2TM,14,28,-4,0,0,0,4,0,0,0,0,0,0.498,0.5,0,0,0,novaiv01,IvanÿNova,IvanÿNova,IvanÿNova,ivannova
863,EduardoÿN£¤ez,29,2TM,141,595,3,4,2,-16,4,-4,-0.3,20,17,1.7,0.498,0.498,3.3,-1.2,33,nunezed02,EduardoÿNunez,EduardoÿNunez,EduardoÿNunez,eduardonunez
864,RenatoÿN£¤ez,22,OAK,9,15,-3,-1,1,0,-1,-3,-0.3,1,-3,-0.3,0.463,0.498,-0.3,-0.1,-3,nunezre01,RenatoÿNunez,RenatoÿNunez,RenatoÿNunez,renatonunez
865,VidalÿNu¤oÿIII*,28,SEA,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,nunovi01,VidalÿNunoÿIII*,VidalÿNunoÿIII,VidalÿNunoÿIII,vidalnunoiii
866,PeterÿO'Brien,25,ARI,28,67,-6,0,0,-1,0,-8,-0.9,2,-6,-0.7,0.469,0.495,-0.6,-0.2,-5,obriepe01,PeterÿO'Brien,PeterÿO'Brien,PeterÿO'Brien,petero'brien
868,EricÿO'Flaherty*,31,ATL,37,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,oflaher01,EricÿO'Flaherty*,EricÿO'Flaherty,EricÿO'Flaherty,erico'flaherty
869,ShawnÿO'Malley#,28,SEA,89,232,-8,0,1,-1,1,-8,-0.8,8,1,0.1,0.491,0.495,0.2,0,2,omallsh01,ShawnÿO'Malley#,ShawnÿO'Malley,ShawnÿO'Malley,shawno'malley
870,RyanÿO'Rourke,28,MIN,5,1,0,0,0,0,0,0,0,0,0,0,0.497,0.5,0,0,0,orourry01,RyanÿO'Rourke,RyanÿO'Rourke,RyanÿO'Rourke,ryano'rourke
872,ScottÿOberg,26,COL,22,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,obergsc01,ScottÿOberg,ScottÿOberg,ScottÿOberg,scottoberg
873,BrettÿOberholtzer*,26,2TM,24,7,-1,0,0,0,1,0,0,0,0,0,0.499,0.5,0,0,0,oberhbr01,BrettÿOberholtzer*,BrettÿOberholtzer,BrettÿOberholtzer,brettoberholtzer
874,RougnedÿOdor*,22,TEX,150,632,3,1,2,-7,4,3,0.5,23,26,2.7,0.502,0.502,3.4,-0.2,33,odorro01,RougnedÿOdor*,RougnedÿOdor,RougnedÿOdor,rougnedodor
875,JakeÿOdorizzi,26,TBR,2,4,0,0,0,0,1,0,0,0,0,0,0.513,0.5,0,0,0,odorija01,JakeÿOdorizzi,JakeÿOdorizzi,JakeÿOdorizzi,jakeodorizzi
876,AlexiÿOgando,32,ATL,34,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ogandal01,AlexiÿOgando,AlexiÿOgando,AlexiÿOgando,alexiogando
877,NefiÿOgando,27,MIA,12,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ogandne01,NefiÿOgando,NefiÿOgando,NefiÿOgando,nefiogando
878,SeunghwanÿOh,33,STL,72,2,-1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ohse01,SeunghwanÿOh,SeunghwanÿOh,SeunghwanÿOh,seunghwanoh
879,RossÿOhlendorf,33,CIN,62,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ohlenro01,RossÿOhlendorf,RossÿOhlendorf,RossÿOhlendorf,rossohlendorf
880,StevenÿOkert*,24,SFG,14,1,0,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,okertst01,StevenÿOkert*,StevenÿOkert,StevenÿOkert,stevenokert
881,H‚ctorÿOlivera,31,ATL,6,21,-1,0,0,-2,0,-3,-0.3,1,-3,-0.3,0.444,0.498,-0.1,-0.2,-1,olivehe01,HectorÿOlivera,HectorÿOlivera,HectorÿOlivera,hectorolivera
882,MattÿOlson*,22,OAK,11,28,-2,0,0,0,0,-2,-0.2,1,-1,-0.2,0.477,0.498,-0.2,0,-1,olsonma02,MattÿOlson*,MattÿOlson,MattÿOlson,mattolson
884,LoganÿOndrusek,31,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ondrulo01,LoganÿOndrusek,LoganÿOndrusek,LoganÿOndrusek,loganondrusek
885,PauloÿOrlando,30,KCR,128,484,-1,1,-1,6,-3,2,0.3,17,20,2,0.502,0.502,1.4,0.4,14,orlanpa01,PauloÿOrlando,PauloÿOrlando,PauloÿOrlando,pauloorlando
886,RafaelÿOrtega*,25,LAA,66,202,-9,1,1,-2,-2,-11,-1.1,7,-4,-0.4,0.482,0.493,-0.2,-0.4,-2,ortegra01,RafaelÿOrtega*,RafaelÿOrtega,RafaelÿOrtega,rafaelortega
887,DavidÿOrtiz*,40,BOS,151,626,46,-3,-3,1,-13,28,3,22,51,5.2,0.519,0.518,5.1,-1.2,50,ortizda01,DavidÿOrtiz*,DavidÿOrtiz,DavidÿOrtiz,davidortiz
888,JoshÿOsich*,27,SFG,55,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,osichjo01,JoshÿOsich*,JoshÿOsich,JoshÿOsich,joshosich
889,RobertoÿOsuna,21,TOR,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,osunaro01,RobertoÿOsuna,RobertoÿOsuna,RobertoÿOsuna,robertoosuna
890,DanÿOtero,31,CLE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,oteroda01,DanÿOtero,DanÿOtero,DanÿOtero,danotero
