Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names ,clean_end,no_period,clean_name 
840,AlecÿMills,27,CHC,9,12,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,0.494,0.5,-0.1,0,-1,millsal02,AlecÿMills,AlecÿMills,AlecÿMills,alecmills
842,TommyÿMilone*,32,SEA,1,2,-1,0,0,0,0,0,0,0,0,0,0.475,0.5,0,0,0,milonto01,TommyÿMilone*,TommyÿMilone,TommyÿMilone,tommymilone
843,JuanÿMinaya,28,CHW,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,minayju01,JuanÿMinaya,JuanÿMinaya,JuanÿMinaya,juanminaya
844,MikeÿMinor,31,TEX,4,10,-3,0,0,0,2,-2,-0.2,0,-2,-0.2,0.464,0.499,-0.2,0,-1,minormi01,MikeÿMinor,MikeÿMinor,MikeÿMinor,mikeminor
845,A.J.ÿMinter*,25,ATL,35,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,minteaj01,A.J.ÿMinter*,A.J.ÿMinter,AJÿMinter,ajminter
846,YadierÿMolina,36,STL,113,452,-7,1,-1,1,7,1,-0.1,15,15,1.3,0.501,0.5,1.4,0.7,14,molinya01,YadierÿMolina,YadierÿMolina,YadierÿMolina,yadiermolina
847,Yo nÿMoncada#,24,CHW,132,559,29,0,1,0,3,32,3.3,20,52,5.2,0.523,0.519,5.1,0.4,52,moncayo01,YoanÿMoncada#,YoanÿMoncada,YoanÿMoncada,yoanmoncada
848,AdalbertoÿMondes¡#,23,KCR,102,443,-10,3,1,5,5,4,0.6,16,20,2.1,0.504,0.503,1.5,1.1,15,mondera02,AdalbertoÿMondesi#,AdalbertoÿMondesi,AdalbertoÿMondesi,adalbertomondesi
849,FrankieÿMontas,26,OAK,1,2,0,0,0,0,0,0,0,0,0,0,0.534,0.5,0,0,0,montafr02,FrankieÿMontas,FrankieÿMontas,FrankieÿMontas,frankiemontas
850,RafaelÿMontero,28,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,montera01,RafaelÿMontero,RafaelÿMontero,RafaelÿMontero,rafaelmontero
852,MikeÿMontgomery*,29,2TM,19,6,-1,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,montgmi01,MikeÿMontgomery*,MikeÿMontgomery,MikeÿMontgomery,mikemontgomery
854,DylanÿMoore,26,SEA,113,282,-5,-3,0,2,0,-7,-0.6,10,3,0.4,0.494,0.496,0.1,0.3,1,mooredy01,DylanÿMoore,DylanÿMoore,DylanÿMoore,dylanmoore
856,KendrysÿMorales#,36,2TM,53,201,-9,-2,-1,-1,-3,-17,-1.6,7,-9,-0.9,0.469,0.495,-0.8,-0.4,-8,moralke01,KendrysÿMorales#,KendrysÿMorales,KendrysÿMorales,kendrysmorales
857,BrianÿMoran*,30,MIA,10,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,moranbr01,BrianÿMoran*,BrianÿMoran,BrianÿMoran,brianmoran
858,ColinÿMoran*,26,PIT,149,503,-4,-2,-1,-19,2,-24,-2.6,16,-7,-1,0.484,0.485,1,-1.8,12,moranco01,ColinÿMoran*,ColinÿMoran,ColinÿMoran,colinmoran
859,Adri nÿMorej¢n*,20,SDP,4,1,0,0,0,0,0,0,0,0,0,0,0.497,0.5,0,0,0,morejad01,AdrianÿMorejon*,AdrianÿMorejon,AdrianÿMorejon,adrianmorejon
860,MitchÿMoreland*,33,BOS,91,335,5,0,-1,1,-5,1,0.2,12,13,1.3,0.501,0.5,1.2,-0.2,12,morelmi01,MitchÿMoreland*,MitchÿMoreland,MitchÿMoreland,mitchmoreland
861,AdamÿMorgan*,29,PHI,38,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,morgaad01,AdamÿMorgan*,AdamÿMorgan,AdamÿMorgan,adammorgan
862,MikeÿMorin,28,2TM,25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,morinmi01,MikeÿMorin,MikeÿMorin,MikeÿMorin,mikemorin
863,MaxÿMoroff#,26,CLE,20,35,-5,1,0,-2,1,-5,-0.5,1,-4,-0.4,0.475,0.497,-0.2,-0.1,-2,morofma01,MaxÿMoroff#,MaxÿMoroff,MaxÿMoroff,maxmoroff
864,ReyesÿMoronta,26,SFG,52,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.1,0,moronre01,ReyesÿMoronta,ReyesÿMoronta,ReyesÿMoronta,reyesmoronta
865,LoganÿMorrison*,31,PHI,29,38,-1,-1,0,0,0,-2,-0.2,1,-1,-0.1,0.493,0.499,-0.1,-0.1,-1,morrilo01,LoganÿMorrison*,LoganÿMorrison,LoganÿMorrison,loganmorrison
866,CharlieÿMorton,35,TBR,1,2,-1,0,0,0,0,0,0,0,0,0,0.475,0.5,0,0,0,mortoch02,CharlieÿMorton,CharlieÿMorton,CharlieÿMorton,charliemorton
867,MikeÿMoustakas*,30,MIL,143,584,12,-1,-1,-4,3,10,0.7,19,29,2.6,0.507,0.506,3.2,-0.2,33,moustmi01,MikeÿMoustakas*,MikeÿMoustakas,MikeÿMoustakas,mikemoustakas
868,CedricÿMullins*,24,BAL,22,74,-10,0,0,1,0,-8,-0.8,3,-6,-0.5,0.463,0.495,-0.7,0.2,-7,mullice01,CedricÿMullins*,CedricÿMullins,CedricÿMullins,cedricmullins
869,MaxÿMuncy*,28,LAD,141,589,28,0,1,9,-1,37,3.4,19,56,5.3,0.526,0.523,4.6,0.7,47,muncyma01,MaxÿMuncy*,MaxÿMuncy,MaxÿMuncy,maxmuncy
870,Andr‚sÿMu¤oz,20,SDP,21,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,munozan01,AndresÿMunoz,AndresÿMunoz,AndresÿMunoz,andresmunoz
871,YairoÿMu¤oz,24,STL,88,181,-6,0,0,-5,1,-11,-1.2,6,-5,-0.6,0.488,0.493,-0.1,-0.5,0,munozya01,YairoÿMunoz,YairoÿMunoz,YairoÿMunoz,yairomunoz
872,DanielÿMurphy*,34,COL,132,478,-7,0,0,5,-6,-7,-1,16,8,0.6,0.494,0.495,0.2,-0.2,3,murphda08,DanielÿMurphy*,DanielÿMurphy,DanielÿMurphy,danielmurphy
