Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1075,FordÿProctor*,25,SFG,7,22,-2,0,0,-1,0,-2,-0.3,1,-2,0.463,0.498,-0.1,-0.1,-1,proctfo01,FordÿProctor*,FordÿProctor,FordÿProctor,fordproctor
1076,JuricksonÿProfar#,29,SDP,152,658,9,2,0,2,-5,8,0.9,22,30,0.505,0.505,2.7,-0.3,27,profaju01,JuricksonÿProfar#,JuricksonÿProfar,JuricksonÿProfar,juricksonprofar
1078,AlbertÿPujols,42,STL,109,351,21,-3,-2,0,-7,9,1,12,21,0.509,0.506,2.1,-0.7,21,pujolal01,AlbertÿPujols,AlbertÿPujols,AlbertÿPujols,albertpujols
1082,RomanÿQuinn#,29,2TM,44,87,-3,-1,0,2,0,-2,-0.3,3,1,0.494,0.499,-0.2,0.2,-1,quinnro01,RomanÿQuinn#,RomanÿQuinn,RomanÿQuinn,romanquinn
1084,EstebanÿQuiroz*,30,CHC,14,47,-1,0,0,2,0,2,0.2,2,3,0.513,0.501,0.1,0.3,1,quiroes01,EstebanÿQuiroz*,EstebanÿQuiroz,EstebanÿQuiroz,estebanquiroz
1087,CalÿRaleigh#,25,SEA,119,415,11,0,0,6,8,23,2.5,14,37,0.521,0.515,3.2,1.4,31,raleica01,CalÿRaleigh#,CalÿRaleigh,CalÿRaleigh,calraleigh
1089,LukeÿRaley*,27,TBR,22,72,-1,0,0,3,-1,1,0.1,2,3,0.503,0.5,0,0.2,0,raleylu01,LukeÿRaley*,LukeÿRaley,LukeÿRaley,lukeraley
1091,HaroldÿRam¡rez,27,TBR,120,435,8,-1,1,-4,-7,-2,-0.3,15,13,0.498,0.498,1.7,-1.3,17,ramirha02,HaroldÿRamirez,HaroldÿRamirez,HaroldÿRamirez,haroldramirez
1092,Jos‚ÿRam¡rez#,29,CLE,157,685,29,2,2,2,1,36,3.8,23,59,0.524,0.524,5.8,0.3,57,ramirjo01,JoseÿRamirez#,JoseÿRamirez,JoseÿRamirez,joseramirez
1093,No‚ÿRamirez,32,ARI,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ramirno01,NoeÿRamirez,NoeÿRamirez,NoeÿRamirez,noeramirez
1095,HeliotÿRamos,22,SFG,9,22,-2,0,0,-3,0,-6,-0.6,1,-5,0.435,0.496,-0.2,-0.3,-2,ramoshe02,HeliotÿRamos,HeliotÿRamos,HeliotÿRamos,heliotramos
1098,J.T.ÿRealmuto,31,PHI,139,562,20,5,1,10,9,45,4.7,19,64,0.533,0.529,5.5,2.1,54,realmjt01,J.T.ÿRealmuto,J.T.ÿRealmuto,JTÿRealmuto,jtrealmuto
1099,JakeÿReed,29,3TM,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,reedja02,JakeÿReed,JakeÿReed,JakeÿReed,jakereed
1100,RobÿRefsnyder,31,BOS,57,177,9,0,0,-5,-1,3,0.3,6,9,0.506,0.502,1.5,-0.7,14,refsnro01,RobÿRefsnyder,RobÿRefsnyder,RobÿRefsnyder,robrefsnyder
1102,ZachÿReks*,28,TEX,16,34,-2,-1,0,-2,0,-5,-0.5,1,-4,0.468,0.497,-0.2,-0.3,-2,reksza01,ZachÿReks*,ZachÿReks,ZachÿReks,zachreks
1103,AnthonyÿRendon,32,LAA,47,193,0,0,-1,2,1,2,0.3,7,9,0.506,0.502,0.7,0.3,7,rendoan01,AnthonyÿRendon,AnthonyÿRendon,AnthonyÿRendon,anthonyrendon
1104,HunterÿRenfroe,30,MIL,125,522,12,-1,-1,2,-4,8,0.9,18,25,0.506,0.505,2.3,-0.2,23,renfrhu01,HunterÿRenfroe,HunterÿRenfroe,HunterÿRenfroe,hunterrenfroe
1105,LuisÿRengifo#,25,LAA,127,511,-1,1,0,1,5,6,0.7,17,24,0.505,0.504,2.3,0.6,23,rengilu01,LuisÿRengifo#,LuisÿRengifo,LuisÿRengifo,luisrengifo
1107,FranmilÿReyes,26,2TM,118,473,-11,-1,-2,-1,-9,-23,-2.5,16,-7,0.478,0.491,-0.9,-1.1,-6,reyesfr01,FranmilÿReyes,FranmilÿReyes,FranmilÿReyes,franmilreyes
