Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1,DavidÿAardsma,33,ATL,30,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,aardsda01,DavidÿAardsma,DavidÿAardsma,DavidÿAardsma,davidaardsma
2,FernandoÿAbad*,29,OAK,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,abadfe01,FernandoÿAbad*,FernandoÿAbad,FernandoÿAbad,fernandoabad
3,Jos‚ÿAbreu,28,CHW,154,668,26,-3,-1,-3,-10,9,1.2,23,33,3.5,0.506,0.506,3.7,-1.3,36,abreujo02,JoseÿAbreu,JoseÿAbreu,JoseÿAbreu,joseabreu
4,A.J.ÿAchter,26,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,achteaj01,A.J.ÿAchter,A.J.ÿAchter,AJÿAchter,ajachter
5,DustinÿAckley*,27,2TM,108,264,-2,-2,1,-13,-3,-18,-1.9,9,-9,-1,0.482,0.491,0.4,-1.6,4,ackledu01,DustinÿAckley*,DustinÿAckley,DustinÿAckley,dustinackley
6,CristhianÿAdames#,23,COL,26,58,-3,-1,1,1,1,-1,-0.1,2,1,0.1,0.495,0.499,-0.1,0.2,0,adamecr01,CristhianÿAdames#,CristhianÿAdames,CristhianÿAdames,cristhianadames
7,AustinÿAdams,28,CLE,3,1,0,0,0,0,0,0,0,0,0,0,0.488,0.5,0,0,0,adamsau01,AustinÿAdams,AustinÿAdams,AustinÿAdams,austinadams
8,MattÿAdams*,26,STL,60,186,-6,-1,2,2,-2,-5,-0.6,6,1,0,0.491,0.497,-0.2,0,-1,adamsma01,MattÿAdams*,MattÿAdams,MattÿAdams,mattadams
9,NathanÿAdcock,27,CIN,12,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,adcocna01,NathanÿAdcock,NathanÿAdcock,NathanÿAdcock,nathanadcock
10,EhireÿAdrianza#,25,SFG,52,134,-6,0,0,3,2,-2,-0.3,4,2,0.2,0.495,0.499,-0.2,0.5,-1,adriaeh01,EhireÿAdrianza#,EhireÿAdrianza,EhireÿAdrianza,ehireadrianza
11,JeremyÿAffeldt*,36,SFG,47,2,-1,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,affelje01,JeremyÿAffeldt*,JeremyÿAffeldt,JeremyÿAffeldt,jeremyaffeldt
12,Jes£sÿAguilar,25,CLE,7,20,0,0,0,-2,-1,-3,-0.3,1,-2,-0.2,0.458,0.498,0,-0.3,0,aguilje01,JesusÿAguilar,JesusÿAguilar,JesusÿAguilar,jesusaguilar
13,NickÿAhmed,25,ARI,134,459,-17,-1,1,8,6,-3,-0.4,15,12,1.1,0.498,0.498,0.2,1.5,4,ahmedni01,NickÿAhmed,NickÿAhmed,NickÿAhmed,nickahmed
16,HanserÿAlberto,22,TEX,41,104,-7,1,0,5,1,0,0,4,3,0.4,0.499,0.5,-0.2,0.7,-2,alberha01,HanserÿAlberto,HanserÿAlberto,HanserÿAlberto,hanseralberto
17,AlÿAlburquerque,29,DET,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,albural01,AlÿAlburquerque,AlÿAlburquerque,AlÿAlburquerque,alalburquerque
18,ArismendyÿAlc ntara#,23,CHC,11,32,-3,1,0,-2,0,-4,-0.4,1,-3,-0.3,0.462,0.497,-0.1,-0.2,-1,alcanar01,ArismendyÿAlcantara#,ArismendyÿAlcantara,ArismendyÿAlcantara,arismendyalcantara
20,CodyÿAllen,26,CLE,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,allenco01,CodyÿAllen,CodyÿAllen,CodyÿAllen,codyallen
21,AbrahamÿAlmonte#,26,2TM,82,258,-4,0,0,2,1,-1,0,9,8,0.8,0.499,0.5,0.6,0.3,6,almonab01,AbrahamÿAlmonte#,AbrahamÿAlmonte,AbrahamÿAlmonte,abrahamalmonte
